team,region
-72c,Europe
100 Thieves,Europe
1WIN,Europe
1win,Europe
2070,Americas
2GAME,Americas
33,Europe
3DMAX,Europe
500,Europe
5Actors,Europe
5star,Asia
777,Europe
888aura,Europe
8Sins,Europe
9 Pandas,Europe
900FPSvsECO,Americas
9BOOMPRO,Europe
9INE,Europe
9z,Americas
9z Academy,Americas
ACROBATS,Europe
ADEPTS,Europe
AKA HERO KAJO,Europe
ALASKA,Europe
ALGO,Europe
ALKA,Americas
ALLINNERS,Europe
ALTERNATE aTTaX,Europe
ALZON,Americas
AM,Europe
AMKAL,Europe
ARCRED,Europe
ASPYRE,Americas
ASTRAL,Europe
ATOX,Asia
AURA,Europe
AaB,Europe
Abyssal,Asia
Acend,Europe
Adventurers,Europe
Aether,Americas
Aetheris,Europe
Akimbo,Asia
Akuma,Europe
Al-Ittihad,Asia
Alliance,Europe
Alter Ego,Asia
Alter Iron,Americas
América,Americas
Animus Victoria,Asia
Anonymo,Europe
Apeks,Europe
Apogee,Europe
Arcade,Asia
Argentina,Americas
Arise,Asia
Arrival Seven,Americas
Arrow,Europe
Astralis,Europe
Astralis Talent,Europe
Astralis W,Europe
Astrum,Europe
Atreides,Europe
Atrix,Americas
Aurora,Europe
Aurora Young Blud,Europe
Aware fe,Americas
B8,Europe
BA 2,Europe
BASEMENT BOYS,Europe
BBBMBCBS,Asia
BC.Game,Europe
BESTIA,Americas
BESTIA Academy,Americas
BET-M,Europe
BIG,Europe
BIG Academy,Europe
BIG EQUIPA,Europe
BLEED,Europe
BLUEJAYS,Americas
BMZ,Asia
BORING PLAYERS,Asia
BOSS,Americas
BRUTE,Europe
Back to Back,Americas
Back2TheGame,Europe
Bad Luck,Americas
Bad News Capybaras,Americas
Bad News Chickens,Americas
Bad News Kangaroos,Asia
BadGuys,Europe
Basement Bobs,Europe
Bebop,Europe
BetBoom,Europe
Betclic,Europe
Betera,Europe
Beyond Limits,Americas
Big W,Asia
Black Mold,Americas
Blitzkrieg,Americas
Blue Otter Karma,Americas
Bounty Hunters,Americas
Bounty Hunters fe,Americas
Bromo,Asia
Bushido Wildcats,Europe
CALAOSCORNOS,Europe
CAPIVARAS,Americas
CPH Wolves,Europe
CRIMSON,Asia
CS2News,Europe
CS2News Ladies,Europe
CSDIILIT,Europe
CYBERSHOKE,Europe
CYBERSHOKE Prospects,Europe
Canada,Americas
Carpe Diem,Americas
Case,Americas
CatEvil,Asia
Change The Game,Asia
Charrados,Americas
Chicken Coop,Americas
Chile,Americas
Chill Guys,Americas
Chimera,Europe
Chinggis Warriors,Asia
Cloud9,Europe
Club 333,Americas
Clutch,Asia
Clutchain,Europe
Clutchain fe,Europe
ComeBack,Europe
Complexity,Americas
Corinthians,Americas
Crashers,Americas
Crescent fe,Europe
Curralzinho,Americas
Czech Republic,Europe
DASH,Europe
DEPO,Asia
DESEMPREGO,Europe
DETONATE,Americas
DMS,Europe
DOG,Asia
DONSTU,Europe
DRILLAS,Europe
DXA,Asia
Daaku,Europe
Dark Cloud,Europe
Dashskins,Americas
Daystar,Europe
Deep Cross,Asia
Delta,Europe
Denmark fe,Europe
Diamant,Europe
Ding Cuts,Asia
DogEvil,Asia
Drama,Europe
Dripmen,Europe
Dusty Roots,Americas
Dusty Roses,Americas
Dziuseppe,Europe
E-Xolos LAZER,Americas
EC BANGA,Europe
ECLOT,Europe
ECSTATIC,Europe
ELITES,Americas
EMPIRE,Americas
ENCE,Europe
ENCE Academy,Europe
ENCE Athena,Europe
ESC,Europe
EXSAD,Europe
EYEBALLERS,Europe
Eco Warriors,Europe
Elevate,Americas
Endless Journey,Europe
Endpoint,Europe
Enjoy,Europe
Enterprise,Europe
Entropiq,Europe
Entropy,Europe
Eruption,Asia
Eternal Fire,Europe
Exceritus,Americas
F5,Americas
FACEITPLAYERS,Europe
FAVBET,Europe
FLUFFY AIMERS,Americas
FLUFFY MAFIA,Europe
FLuffy Gangsters,Europe
FOKUS,Europe
FOLHA AMARELA,Americas
FORZE,Europe
FORZE Reload,Europe
FRZ,Americas
FULL SEND,Americas
FURIA,Americas
FURIA Academy,Americas
FURIA fe,Americas
FURY,Asia
FUT,Europe
FUT Academy,Europe
FaZe,Europe
Fake do Biru,Americas
Falcons,Europe
Falcons Force,Europe
Famalicão,Europe
Familia Maquininha,Americas
FarmVille,Americas
Fated Rise,Asia
Fearless Cheetahs,Europe
FengDa,Asia
Final Form,Americas
Fingers Crossed,Europe
Fingers Crossed fe,Europe
Fire Flux,Europe
Fisher College,Europe
Flame Sharks fe,Europe
Flamengo,Americas
Floripa Stars,Americas
Flshbck,Asia
Fluxo,Americas
Fluxo Demons,Americas
FlyQuest,Asia
FlyQuest RED,Americas
Four Magic,Americas
Four Magic fe,Americas
France fe,Europe
Fraud5,Europe
Friendly Campers,Europe
Fuego,Americas
Fuzos,Europe
G2,Europe
G2 Ares,Europe
GAMEHARMONY,Europe
GATERON,Asia
GL Academy,Europe
GLORE,Europe
GR,Europe
GTZ,Europe
GUARA,Americas
GUN5,Europe
Gaimin Gladiators,Americas
Galorys,Americas
Galorys Academy,Americas
GameAgents,Europe
GameHunters,Americas
GamerLegion,Europe
Garden Garage,Europe
GenOne,Europe
Gentle Mates,Europe
Getting Info,Americas
Ghost,Americas
GhoulsW,Europe
Gods Reign,Asia
Grannys Knockers,Europe
Grindas,Europe
Ground Zero,Asia
HAVU,Europe
HAWAII,Europe
HEROIC,Europe
HEROIC Academy,Europe
HOTU,Europe
HSG fe,Asia
HYPERSPIRIT,Europe
Haemus,Europe
Hashiras,Europe
Haunted House,Asia
Hawks,Americas
Heimo,Europe
HereWeGoAgain,Americas
Hesta,Europe
Homyno,Americas
Honvéd,Europe
Housebets,Asia
HubaBuba,Europe
Hungary,Europe
Hype,Americas
HyperSpirit,Europe
IDoPieca,Europe
IHC,Asia
INFINITE,Europe
INOX Division,Europe
Iberian Soul,Europe
Illuminar,Europe
Immigrants peek,Europe
Imp Pact fe,Americas
Imperial,Americas
Imperial Academy,Europe
Imperial Valkyries,Europe
Imperial fe,Europe
Impulse GW,Europe
InControl,Americas
Incognito,Americas
Inner Circle,Europe
Inner Circle Academy,Europe
Insilio,Europe
Insomnia,Europe
Intense,Americas
Into the Breach,Europe
Isurus,Americas
JANO,Europe
JERSA,Americas
JOGA DE TERNO,Americas
JUMBO,Europe
JiJieHao,Europe
Johnny Speeds,Europe
Jordan,Asia
Julie&Cie,Europe
Just Players,Europe
Just Swing,Asia
Justice For Tomorrow,Asia
K27,Europe
K27 fe,Europe
KHAN,Europe
KOI,Europe
KOLESIE,Europe
KOMNATA,Europe
KRÜ,Americas
KUUSAMO,Europe
KZG,Asia
Kaleido,Asia
Kappa Bar,Europe
Kazakhstan,Europe
Keyd Stars,Americas
Kiri,Americas
Kosovo,Europe
Kubix,Europe
L&G,Europe
LA MASIA,Europe
LAG,Americas
LAGUNA,Europe
LE-LUX,Asia
LEON,Europe
LFO 2,Europe
LFO 3,Europe
LFO 4,Americas
LITE,Asia
LOBOARMY,Americas
LP,Americas
LaChampionsLiga,Americas
Last Bullet,Asia
Latvia,Europe
Lavked,Europe
Lazer Cats,Europe
Legacy,Americas
Legacy Kingdom,Americas
Legion,Asia
Leo,Europe
Let Her Cook,Europe
Leça,Europe
Lilmix,Europe
Limitless,Americas
Liquid,Americas
Little Bocks,Americas
Lore,Europe
Lotus fe,Americas
Lumen fe,Europe
Lycus Empire,Americas
Lynn Vision,Asia
M1,Europe
M1X KS,Europe
M80,Americas
MAGICOS,Americas
MANA,Europe
MANTRA,Asia
MARKandLARRY,Asia
MASONIC,Europe
MCS,Americas
MEGA JUNERS,Americas
METANOIA,Americas
METANOIA Wolves,Americas
MIBR,Americas
MIBR Academy,Americas
MIBR fe,Americas
MIGHT,Americas
MINLATE,Europe
MONEY CREW,Asia
MOUZ,Europe
MTX,Europe
MUERTA,Europe
Marca Registrada,Americas
Marius,Europe
Marsborne,Americas
Matrix,Europe
Max,Europe
Memeories,Americas
Mercenaires,Europe
Messitas,Americas
Meteor,Europe
Metizport,Europe
Mindfreak,Asia
Misa,Europe
Money Crew,Asia
Moneyball,Americas
Monte,Europe
Monte Gen,Europe
Morningstar,Asia
Mousquetaires,Europe
Mythic,Americas
NAVI Javelins,Europe
NAVI Junior,Europe
NEVERMORE,Europe
NEXVOID,Asia
NIP Impact,Europe
NITRO,Americas
NOM,Asia
NOVAQ,Europe
NRG,Americas
NSN,Asia
NXT,Europe
NYX,Americas
Nas,Asia
Natus Vincere,Europe
Nemesis,Europe
Nemesis Impact,Europe
Nemiga,Europe
NewBALLS,Europe
Nexus,Europe
Nigel Mirage,Europe
NinJa,Asia
Ninjas in Pyjamas,Europe
Nocturnal,Americas
NomadS,Asia
Nordix,Europe
Norway,Europe
Nouns,Americas
Nouns fe,Americas
Novaq,Europe
NuTorious,Americas
Nuclear TigeRES,Europe
Nyx Empyre,Americas
O PLANO,Americas
ODDIK,Americas
OG,Europe
OLDBOYS PL,Europe
OlyBet,Europe
Omega,Europe
Only One Word,Asia
Oramond,Europe
Outfit 49,Americas
OverKnight,Americas
Overpeek,Europe
Oxuji,Europe
PARIVISION,Europe
PCIFIC,Europe
PEAK fe,Americas
PEGADA,Europe
PERA,Europe
PERPLEXITY,Europe
POWERmix,Europe
Partizan,Europe
Party Astronauts,Americas
Passion UA,Americas
Patins da Ferrari,Americas
PeeP,Europe
Peekaboo,Europe
Penance,Americas
Permitta,Europe
Permitta W,Europe
Persona Grata,Europe
Phantom,Europe
Phoenix,Americas
Pigeons,Europe
Players,Americas
Poland fe,Europe
Portugal,Europe
Portuguese Family,Europe
Prasso,Americas
Preasy,Europe
Prestige,Europe
Prison Breakers,Americas
Procyon,Americas
Project 91,Europe
Prototype Blaze,Europe
PsychoFace,Europe
Pugdesonesto,Americas
Pulse,Americas
QMISTRY,Europe
QUAZAR,Europe
QWENTRY,Europe
Qiang,Europe
Quem Sao Elas,Americas
R2,Americas
RAGE,Europe
RED Canids,Americas
RED Canids Academy,Americas
RKON,Asia
ROSY,Europe
ROUNDS,Europe
RUBY,Europe
RUSH B,Europe
RUSTEC,Europe
Rare Atom,Asia
Rave,Americas
ReThink,Europe
Reactor 9,Americas
Reason,Europe
Rebels,Europe
Reign Above,Americas
Revenant,Europe
Revenge Nation,Europe
Rhyno,Europe
Roler Coaster,Europe
Rooster,Asia
Rune Eaters,Europe
SABRE,Europe
SAW,Europe
SELVA,Americas
SENSEI,Americas
SENZA,Europe
SINNERS,Europe
SINNERS Academy,Europe
SINQU,Europe
SIXSEVEN,Europe
SKYFURY,Europe
SPARTA,Europe
SPORT,Americas
STATE,Europe
SUPER EVIL GANG,Americas
Sakura,Americas
Sampi,Europe
Sangal,Europe
Sashi,Europe
Sashi Academy,Europe
ScarX,Asia
Secret,Europe
SemperFi,Asia
Sensation,Asia
Serbia,Europe
Sharks,Americas
Shika,Asia
Shimmer,Americas
ShindeN,Americas
Skele,Asia
SkinRave,Americas
Skinsauna,Europe
SkyFury,Europe
Smoke,Americas
Solid,Americas
SovvyKiNG,Europe
Space,Europe
Spirit,Europe
Spirit Academy,Europe
Spirit fe,Europe
SportsBetExpert,Americas
Spray Jutsu,Europe
Spray and Slay,Europe
Square Sausages,Europe
Steel Helmet,Asia
Strael Bora,Europe
StragaSonhoS,Americas
Straight2Killin,Americas
Subtop De France,Europe
Supernova Comets,Americas
Surge,Americas
Swingers,Americas
System5,Europe
TALON,Asia
TBO,Asia
TDK,Europe
THE,Europe
THUNDER dOWNUNDER,Asia
TNC,Europe
TNL,Europe
TNT,Europe
TPuDCATb TPu,Europe
TSG,Americas
TSM,Europe
TSM Impact,Americas
TSM Shimmer,Americas
TYLOO,Asia
Take Flyte,Americas
The Art of War,Asia
The Bardolphs,Asia
The Chosen Few,Europe
The Glecs,Europe
The Huns,Asia
The Last Resort,Europe
The MongolZ,Asia
The Night Club,Europe
The QUBE,Asia
The Suspect,Europe
Time Waves,Asia
Timewaves,Asia
Tricked,Europe
Tropa do KinGui,Americas
Tropa do Taco,Americas
True Rippers,Asia
True Thunder,Asia
Tsunami,Americas
Tunisia,Asia
Turkey,Europe
UNO MILLE,Americas
UNPAID,Europe
UNiTY,Europe
UR,Asia
USA,Americas
USA fe,Americas
UnderDogs,Americas
Underground,Asia
Undone,Americas
Unitronics,Asia
Universe,Europe
Ursa,Europe
V1dar,Europe
VELOX,Americas
VEXA,Americas
VP.Prodigy,Europe
VRSoholics,Europe
Vagrants,Americas
Vantage,Asia
Vasco,Americas
Venom,Europe
Verdant,Europe
VexX,Asia
Vexar,Europe
Victores Sumus,Asia
Vikings KR,Americas
Viperio,Europe
Virtual Cottage,Europe
Virtus.pro,Europe
Vitality,Europe
Voca,Americas
W7M,Americas
WATERMELON,Europe
WAZABI,Europe
WHITEBIRD,Europe
WOPA,Europe
WW,Europe
Walczaki,Europe
Wanted Goons,Americas
Washington,Europe
Wave,Europe
WildLotus,Europe
Wildcard,Americas
Wildcard Academy,Europe
Wings Up,Asia
Worms,Europe
XDM,Asia
XI,Europe
Y5,Europe
Yawara,Americas
Young Ninjas,Europe
Younglings,Europe
Z7,Europe
ZEVS,Asia
Zealous,Americas
Zerance,Europe
Zero Tenacity,Europe
Zomblers,Americas
aAa,Europe
adalYamigos,Americas
aimclub,Europe
amateurs,Europe
anything else,Americas
bankaPEPSI,Europe
benched,Europe
bond1e,Europe
brazylijski luz,Europe
confidence,Europe
devils.one,Europe
dream catchers fe,Europe
eLITenergy,Europe
eternal premium,Europe
ex-Chicken Coop,Americas
ex-Enterprise,Europe
ex-FUT Academy,Europe
ex-Fingers Crossed,Europe
ex-Flame Sharks,Europe
ex-GR,Europe
ex-Guild Eagles,Europe
ex-HEROIC Academy,Europe
ex-Heimo,Europe
ex-Inner Circle,Europe
ex-KRÜ,Americas
ex-PERA,Europe
ex-Permitta,Europe
ex-Preasy,Europe
ex-RUBY,Europe
ex-SABRE,Europe
ex-Sprout,Europe
ex-TALON,Asia
ex-Vikings,Americas
ex-W7M,Americas
ex-Zero Tenacity,Europe
fnatic,Europe
girl kissers,Americas
harizma,Europe
hindsight,Europe
home,Europe
illwill,Europe
inSanitY,Americas
inSanitY fe,Americas
informmix,Europe
inputprayers,Europe
insane players,Americas
jahsdnmasjdm,Americas
japczany,Europe
kONO,Europe
lajtbitexe,Europe
los kogutos,Europe
low cortisol,Asia
m1x,Europe
magic,Europe
megoshort,Europe
mix52,Europe
modeame,Europe
moneyF,Europe
mouse,Americas
nomercy fe,Europe
paiN,Americas
paiN Academy,Americas
panelinha,Americas
playersclub,Europe
regain,Americas
rottweilers,Europe
shinigami,Europe
st4rboys,Asia
thekillaz fe,Americas
timbermen,Americas
undefined,Americas
vagrants,Americas
wwaves,Europe
yngods,Europe
zajezdzacze,Europe
